firstSubjectCode,secondSubjectCode,studentsSameTwoSubjects,numberStudents
BIO2043 CLCCNS,BIO2044,[],0
BIO2043 CLCCNS,BIO2045,[],0
BIO2043 CLCCNS,BIO2045E CLCCNS,[],0
BIO2043 CLCCNS,BIO2088,[],0
BIO2043 CLCCNS,BIO2089 TNS,[],0
BIO2043 CLCCNS,BIO2092,[],0
BIO2043 CLCCNS,BIO2127 CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO2201,[],0
BIO2043 CLCCNS,BIO2202,[],0
BIO2043 CLCCNS,BIO2203,[],0
BIO2043 CLCCNS,BIO2204,[],0
BIO2043 CLCCNS,BIO2206,[],0
BIO2043 CLCCNS,BIO2210,[],0
BIO2043 CLCCNS,BIO2210 CLCRHM,[],0
BIO2043 CLCCNS,BIO2215E CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO2220,[],0
BIO2043 CLCCNS,BIO2400,[],0
BIO2043 CLCCNS,BIO2400E CLCCNS,[20001462],1
BIO2043 CLCCNS,BIO2403E CLCCNS,[19005818],1
BIO2043 CLCCNS,BIO2405E QTS,[],0
BIO2043 CLCCNS,BIO2504 TNS,[],0
BIO2043 CLCCNS,BIO2516 CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO2800 CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO3098,[],0
BIO2043 CLCCNS,BIO3099,[],0
BIO2043 CLCCNS,BIO3178 CLCCNS,[19003223],1
BIO2043 CLCCNS,BIO3182 CLCCNS,[20001462],1
BIO2043 CLCCNS,BIO3190,[],0
BIO2043 CLCCNS,BIO3191,[],0
BIO2043 CLCCNS,BIO3201,[],0
BIO2043 CLCCNS,BIO3205,[],0
BIO2043 CLCCNS,BIO3227E QTS,[],0
BIO2043 CLCCNS,BIO3252,[],0
BIO2043 CLCCNS,BIO3252E QTS,[],0
BIO2043 CLCCNS,BIO3257 TNS,[],0
BIO2043 CLCCNS,BIO3258,[],0
BIO2043 CLCCNS,BIO3258E QTS,[],0
BIO2043 CLCCNS,BIO3262 TNS,[],0
BIO2043 CLCCNS,BIO3263 TNS,[],0
BIO2043 CLCCNS,BIO3301 CLCCNS,[],0
BIO2043 CLCCNS,BIO3302,[],0
BIO2043 CLCCNS,BIO3302E CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO3303,[],0
BIO2043 CLCCNS,BIO3304,[],0
BIO2043 CLCCNS,BIO3330 CLCCNS,[],0
BIO2043 CLCCNS,BIO3356 CLCCNS,[],0
BIO2043 CLCCNS,BIO3370E QTS,[],0
BIO2043 CLCCNS,BIO3372E QTS,[],0
BIO2043 CLCCNS,BIO3373 TNS,[20001462],1
BIO2043 CLCCNS,BIO3377 TNS,[],0
BIO2043 CLCCNS,BIO3400E QTS,[],0
BIO2043 CLCCNS,BIO3401E QTS,[],0
BIO2043 CLCCNS,BIO3403E QTS,[],0
BIO2043 CLCCNS,BIO3405E QTS,[],0
BIO2043 CLCCNS,BIO3504 TNS,[],0
BIO2043 CLCCNS,BIO3701 TNS,[],0
BIO2043 CLCCNS,BIO3802E CLCCNS,"[19003223, 19004603, 19005510, 19005687, 19005818, 19009535]",6
BIO2043 CLCCNS,BIO3803E CLCCNS,[20001462],1
BIO2043 CLCCNS,CHE1048,[],0
BIO2043 CLCCNS,CHE1048 CLCCNH,[],0
BIO2043 CLCCNS,CHE1052,[],0
BIO2043 CLCCNS,CHE1052 CLCCNH,[],0
BIO2043 CLCCNS,CHE1052 CLCHD,[],0
BIO2043 CLCCNS,CHE1057,[],0
BIO2043 CLCCNS,CHE1057 CLCCNS,[],0
BIO2043 CLCCNS,CHE1057 QTS,[],0
BIO2043 CLCCNS,CHE1065,[],0
BIO2043 CLCCNS,CHE1067,[],0
BIO2043 CLCCNS,CHE1067 CLCHD,[],0
BIO2043 CLCCNS,CHE1075,[],0
BIO2043 CLCCNS,CHE1075E CLCHD,[],0
BIO2043 CLCCNS,CHE1077 TNH,[],0
BIO2043 CLCCNS,CHE1079,[],0
BIO2043 CLCCNS,CHE1079 TNH,[],0
BIO2043 CLCCNS,CHE1079E CLCCNH,[],0
BIO2043 CLCCNS,CHE1080,[],0
BIO2043 CLCCNS,CHE1081,"[19003223, 19005510, 19009535]",3
BIO2043 CLCCNS,CHE1081 CLCCNS,[],0
BIO2043 CLCCNS,CHE1081 QTS,[],0
BIO2043 CLCCNS,CHE1081 TNS,[],0
BIO2043 CLCCNS,CHE1083,[],0
BIO2043 CLCCNS,CHE1084,[],0
BIO2043 CLCCNS,CHE1084 TNH,[],0
BIO2043 CLCCNS,CHE1090,[],0
BIO2043 CLCCNS,CHE1091,[],0
BIO2043 CLCCNS,CHE1091 CLCCNH,[],0
BIO2043 CLCCNS,CHE1095E TTH,[],0
BIO2043 CLCCNS,CHE1099E TNH,[],0
BIO2043 CLCCNS,CHE1099E TTH,[],0
BIO2043 CLCCNS,CHE1129 CLCCNH,[],0
BIO2043 CLCCNS,CHE1155,[],0
BIO2043 CLCCNS,CHE2018,[],0
BIO2043 CLCCNS,CHE2021,[],0
BIO2043 CLCCNS,CHE2021 CLCCNH,[],0
BIO2043 CLCCNS,CHE2030E CLCHD,[],0
BIO2043 CLCCNS,CHE2110 TNH,[],0
BIO2043 CLCCNS,CHE2110E TTH,[],0
BIO2043 CLCCNS,CHE2114,[],0
BIO2043 CLCCNS,CHE2114E CLCHD,[],0
BIO2043 CLCCNS,CHE2118E TTH,[],0
BIO2043 CLCCNS,CHE2120E TTH,[],0
BIO2043 CLCCNS,CHE2121 TNH,[],0
BIO2043 CLCCNS,CHE2128 TNH,[],0
BIO2043 CLCCNS,CHE2130 TNH,[],0
BIO2043 CLCCNS,CHE2130E TTH,[],0
BIO2043 CLCCNS,CHE2131 TNH,[],0
BIO2043 CLCCNS,CHE2145E TTH,[],0
BIO2043 CLCCNS,CHE3045,[],0
BIO2043 CLCCNS,CHE3045E CLCCNH,[],0
BIO2043 CLCCNS,CHE3212 TTH,[],0
BIO2043 CLCCNS,CHE3253,[],0
BIO2043 CLCCNS,CHE3253 CLCCNH,[],0
BIO2043 CLCCNS,CHE3254,[],0
BIO2043 CLCCNS,CHE3254 CLCCNH,[],0
BIO2043 CLCCNS,CHE3283 CLCHD,[],0
BIO2043 CLCCNS,CHE3300,[],0
BIO2043 CLCCNS,CHE3300 CLCHD,[],0
BIO2043 CLCCNS,CHE3302 CLCHD,[],0
BIO2043 CLCCNS,E363 TTKHMT,[],0
BIO2043 CLCCNS,E476 TTKHMT,[],0
BIO2043 CLCCNS,EVF2007,[],0
BIO2043 CLCCNS,EVF2032,[],0
BIO2043 CLCCNS,EVS2017,[],0
BIO2043 CLCCNS,EVS2109,[],0
BIO2043 CLCCNS,EVS2301,[],0
BIO2043 CLCCNS,EVS2301 CLCKHMT,[],0
BIO2043 CLCCNS,EVS2302,[],0
BIO2043 CLCCNS,EVS2302 CTĐB,[],0
BIO2043 CLCCNS,EVS3158,[],0
BIO2043 CLCCNS,EVS3232,[],0
BIO2043 CLCCNS,EVS3241,[],0
BIO2043 CLCCNS,EVS3241 CLCKHMT,[],0
BIO2043 CLCCNS,EVS3242,[],0
BIO2043 CLCCNS,EVS3244,[],0
BIO2043 CLCCNS,EVS3245,[],0
BIO2043 CLCCNS,EVS3248,[],0
BIO2043 CLCCNS,EVS3250,[],0
BIO2043 CLCCNS,EVS3250 CLCKHMT,[],0
BIO2043 CLCCNS,EVS3287,[],0
BIO2043 CLCCNS,EVS3402 CTĐB,[],0
BIO2043 CLCCNS,EVS3409,[],0
BIO2043 CLCCNS,EVS3453,[],0
BIO2043 CLCCNS,EVS3455,[],0
BIO2043 CLCCNS,EVS4071,[],0
BIO2043 CLCCNS,EVS4071 CLCKHMT,[],0
BIO2043 CLCCNS,EVS4073,[],0
BIO2043 CLCCNS,EVS4073 CLCCNKTMT,[],0
BIO2043 CLCCNS,GEO1050,[],0
BIO2043 CLCCNS,GEO2016,[],0
BIO2043 CLCCNS,GEO2025,[],0
BIO2043 CLCCNS,GEO2059,[],0
BIO2043 CLCCNS,GEO2110,[],0
BIO2043 CLCCNS,GEO2300,[],0
BIO2043 CLCCNS,GEO2304,[],0
BIO2043 CLCCNS,GEO2319,[],0
BIO2043 CLCCNS,GEO2320,[],0
BIO2043 CLCCNS,GEO2400,[],0
BIO2043 CLCCNS,GEO2404,[],0
BIO2043 CLCCNS,GEO3119,[],0
BIO2043 CLCCNS,GEO3143,[],0
BIO2043 CLCCNS,GEO3209,[],0
BIO2043 CLCCNS,GEO3219,[],0
BIO2043 CLCCNS,GEO3224,[],0
BIO2043 CLCCNS,GEO3237,[],0
BIO2043 CLCCNS,GEO3263,[],0
BIO2043 CLCCNS,GEO3265,[],0
BIO2043 CLCCNS,GEO3266,[],0
BIO2043 CLCCNS,GEO3269,[],0
BIO2043 CLCCNS,GEO3270,[],0
BIO2043 CLCCNS,GEO3304,[],0
BIO2043 CLCCNS,GEO3305,[],0
BIO2043 CLCCNS,GEO3360,[],0
BIO2043 CLCCNS,GEO3400,[],0
BIO2043 CLCCNS,GEO3402,[],0
BIO2043 CLCCNS,GEO3403,[],0
BIO2043 CLCCNS,GLO2038,[],0
BIO2043 CLCCNS,GLO2056,[],0
BIO2043 CLCCNS,GLO2069 CLCĐC,[],0
BIO2043 CLCCNS,GLO2093,[],0
BIO2043 CLCCNS,GLO2099,[],0
BIO2043 CLCCNS,GLO3122,[],0
BIO2043 CLCCNS,GLO3158,[],0
BIO2043 CLCCNS,GLO3196 CLCĐC,[],0
BIO2043 CLCCNS,GLO3197 CLCĐC,[],0
BIO2043 CLCCNS,GLO3198,[],0
BIO2043 CLCCNS,GLO3228,[],0
BIO2043 CLCCNS,GLO3229,[],0
BIO2043 CLCCNS,HIS1001,[],0
BIO2043 CLCCNS,HIS1056,[19009535],1
BIO2043 CLCCNS,HMO2021,[],0
BIO2043 CLCCNS,HMO2106,[],0
BIO2043 CLCCNS,HMO2110,[],0
BIO2043 CLCCNS,HMO2201,[],0
BIO2043 CLCCNS,HMO3178,[],0
BIO2043 CLCCNS,HMO3181,[],0
BIO2043 CLCCNS,HMO3204,[],0
BIO2043 CLCCNS,HMO3302,[],0
BIO2043 CLCCNS,HMO3303,[],0
BIO2043 CLCCNS,HMO3306,[],0
BIO2043 CLCCNS,HMO3307,[],0
BIO2043 CLCCNS,HMO3311,[],0
BIO2043 CLCCNS,HMO3312,[],0
BIO2043 CLCCNS,HMO3321,[],0
BIO2043 CLCCNS,HMO3507,[],0
BIO2043 CLCCNS,HMO3521,[],0
BIO2043 CLCCNS,HMO3600,[],0
BIO2043 CLCCNS,HMO3601,[],0
BIO2043 CLCCNS,HMO3602,[],0
BIO2043 CLCCNS,HMO3603,[],0
BIO2043 CLCCNS,HMO3608,[],0
BIO2043 CLCCNS,HMO3609,[],0
BIO2043 CLCCNS,HMO3610,[],0
BIO2043 CLCCNS,HMO3611,[],0
BIO2043 CLCCNS,K300 TTKHMT,[],0
BIO2043 CLCCNS,MAT1076,[],0
BIO2043 CLCCNS,MAT1090,[],0
BIO2043 CLCCNS,MAT1091,[],0
BIO2043 CLCCNS,MAT1092,[],0
BIO2043 CLCCNS,MAT1092 CLCCNH,[],0
BIO2043 CLCCNS,MAT1092 CLCHD,[],0
BIO2043 CLCCNS,MAT1092 TTH,[],0
BIO2043 CLCCNS,MAT1101,"[19003223, 19005510, 19009535]",3
BIO2043 CLCCNS,MAT1192,[],0
BIO2043 CLCCNS,MAT1192 CLCCNS,[19005818],1
BIO2043 CLCCNS,MAT1192 QTS,[],0
BIO2043 CLCCNS,MAT1259 TNS,[],0
BIO2043 CLCCNS,MAT1292 TNH,[],0
BIO2043 CLCCNS,MAT1292 TNS,[],0
BIO2043 CLCCNS,MAT2034,[],0
BIO2043 CLCCNS,MAT2301,[],0
BIO2043 CLCCNS,MAT2303,[],0
BIO2043 CLCCNS,MAT2303 TNT,[],0
BIO2043 CLCCNS,MAT2306,[],0
BIO2043 CLCCNS,MAT2308,[],0
BIO2043 CLCCNS,MAT2310,[],0
BIO2043 CLCCNS,MAT2311,[],0
BIO2043 CLCCNS,MAT2311 TNT,[],0
BIO2043 CLCCNS,MAT2314,[],0
BIO2043 CLCCNS,MAT2314 TNT,[],0
BIO2043 CLCCNS,MAT2317 CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT2318,[],0
BIO2043 CLCCNS,MAT2321 TNT,[],0
BIO2043 CLCCNS,MAT2403,[],0
BIO2043 CLCCNS,MAT2403 CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT2406,[],0
BIO2043 CLCCNS,MAT2407,[],0
BIO2043 CLCCNS,MAT2407 TNT,[],0
BIO2043 CLCCNS,MAT2411E CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT2502,[],0
BIO2043 CLCCNS,MAT2502 CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3101 TNT,[],0
BIO2043 CLCCNS,MAT3300,[],0
BIO2043 CLCCNS,MAT3300 TNT,[],0
BIO2043 CLCCNS,MAT3301,[],0
BIO2043 CLCCNS,MAT3305,[],0
BIO2043 CLCCNS,MAT3306,[],0
BIO2043 CLCCNS,MAT3318 TNT,[],0
BIO2043 CLCCNS,MAT3322 TNT,[],0
BIO2043 CLCCNS,MAT3340 TNT,[],0
BIO2043 CLCCNS,MAT3344,[],0
BIO2043 CLCCNS,MAT3344 TNT,[],0
BIO2043 CLCCNS,MAT3347,[],0
BIO2043 CLCCNS,MAT3365,[],0
BIO2043 CLCCNS,MAT3373,[],0
BIO2043 CLCCNS,MAT3373E CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3379,[],0
BIO2043 CLCCNS,MAT3452,[],0
BIO2043 CLCCNS,MAT3500,[],0
BIO2043 CLCCNS,MAT3500 CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3506,[],0
BIO2043 CLCCNS,MAT3507,[],0
BIO2043 CLCCNS,MAT3509,[],0
BIO2043 CLCCNS,MAT3514,[],0
BIO2043 CLCCNS,MAT3517E CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3525,[],0
BIO2043 CLCCNS,MAT3533,[],0
BIO2043 CLCCNS,MAT3533 CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3535 CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3539,[],0
BIO2043 CLCCNS,MAT3551E CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3554 CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3554E CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT3562E CLCMTKHTT,[],0
BIO2043 CLCCNS,MAT4072,[],0
BIO2043 CLCCNS,MAT4073,[],0
BIO2043 CLCCNS,MNS1052,[],0
BIO2043 CLCCNS,PHI1002,"[19004603, 19005510, 19009535]",3
BIO2043 CLCCNS,PHY1012 TNL,[],0
BIO2043 CLCCNS,PHY1013 TNL,[],0
BIO2043 CLCCNS,PHY1020,[],0
BIO2043 CLCCNS,PHY1020 CTĐB,[],0
BIO2043 CLCCNS,PHY1100,[],0
BIO2043 CLCCNS,PHY1100E CLCCNKTMT,[],0
BIO2043 CLCCNS,PHY1103,[20001462],1
BIO2043 CLCCNS,PHY1103 CLCCNH,[],0
BIO2043 CLCCNS,PHY1103 CLCHD,[],0
BIO2043 CLCCNS,PHY1103 CLCMTKHTT,[],0
BIO2043 CLCCNS,PHY1103 QTS,[],0
BIO2043 CLCCNS,PHY1106 QTL,[],0
BIO2043 CLCCNS,PHY1108,[],0
BIO2043 CLCCNS,PHY1108 QTL,[],0
BIO2043 CLCCNS,PHY1113,[],0
BIO2043 CLCCNS,PHY1113 TNL,[],0
BIO2043 CLCCNS,PHY1161 CTĐB,[],0
BIO2043 CLCCNS,PHY1161 TTH,[],0
BIO2043 CLCCNS,PHY2004,[],0
BIO2043 CLCCNS,PHY2004 QTL,[],0
BIO2043 CLCCNS,PHY2064 TNL,[],0
BIO2043 CLCCNS,PHY2064E QTL,[],0
BIO2043 CLCCNS,PHY2206,[],0
BIO2043 CLCCNS,PHY2302,[],0
BIO2043 CLCCNS,PHY2302 TNL,[],0
BIO2043 CLCCNS,PHY2302E QTL,[],0
BIO2043 CLCCNS,PHY2303 TNL,[],0
BIO2043 CLCCNS,PHY2304,[],0
BIO2043 CLCCNS,PHY2304E QTL,[],0
BIO2043 CLCCNS,PHY2306,[],0
BIO2043 CLCCNS,PHY2306E QTL,[],0
BIO2043 CLCCNS,PHY2310,[],0
BIO2043 CLCCNS,PHY2500,[],0
BIO2043 CLCCNS,PHY2502,[],0
BIO2043 CLCCNS,PHY3163,[],0
BIO2043 CLCCNS,PHY3163 QTL,[],0
BIO2043 CLCCNS,PHY3167,[],0
BIO2043 CLCCNS,PHY3301,[],0
BIO2043 CLCCNS,PHY3302,[],0
BIO2043 CLCCNS,PHY3303,[],0
BIO2043 CLCCNS,PHY3314,[],0
BIO2043 CLCCNS,PHY3346 TNL,[],0
BIO2043 CLCCNS,PHY3508,[],0
BIO2043 CLCCNS,PHY3508 TNL,[],0
BIO2043 CLCCNS,PHY3508E QTL,[],0
BIO2043 CLCCNS,PHY3605E QTL,[],0
BIO2043 CLCCNS,PHY3606,[],0
BIO2043 CLCCNS,PHY3606 TNL,[],0
BIO2043 CLCCNS,PHY3608,[],0
BIO2043 CLCCNS,PHY3608 TNL,[],0
BIO2043 CLCCNS,PHY3608E QTL,[],0
BIO2043 CLCCNS,PHY3609,[],0
BIO2043 CLCCNS,PHY3624,[],0
BIO2043 CLCCNS,POL1001,[],0
BIO2043 CLCCNS,SMP1010,[],0
BIO2043 CLCCNS,SMP1010 CLCRHM,[],0
BIO2043 CLCCNS,SMP1012,[],0
BIO2043 CLCCNS,SMP1055,[],0
BIO2043 CLCCNS,SMP2052,[],0
BIO2043 CLCCNS,SMP2053,[],0
BIO2043 CLCCNS,SMP2054,[],0
BIO2043 CLCCNS,SMP2401 CLCRHM,[],0
BIO2043 CLCCNS,SMP2701,[],0
BIO2044,BIO2045,"[19000012, 19000145, 19000307, 19000380, 19000871, 19000880, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003904, 19003951, 19004128, 19004146, 19004249, 19004315, 19004348, 19004913, 19004987, 19005017, 19005075, 19005135, 19005530, 19005954, 19006081, 19006762, 19006949, 19007176, 19007201, 19007301, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917, 20005954]",57
BIO2044,BIO2045E CLCCNS,[],0
BIO2044,BIO2088,[],0
BIO2044,BIO2089 TNS,[],0
BIO2044,BIO2092,"[19000012, 19000145, 19000871, 19000880, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003239, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003904, 19003951, 19004146, 19004249, 19004315, 19004348, 19004913, 19004987, 19005017, 19005075, 19005135, 19005530, 19005538, 19005954, 19006081, 19006762, 19007176, 19007201, 19007301, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009432, 19009594, 19009917, 20008763]",54
BIO2044,BIO2127 CLCCNS,[],0
BIO2044,BIO2201,"[18008510, 19000012, 19000145, 19000307, 19000380, 19000545, 19000871, 19000880, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003239, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003951, 19004146, 19004249, 19004315, 19004913, 19004987, 19005017, 19005075, 19005135, 19005530, 19005538, 19005954, 19006081, 19006762, 19006949, 19007176, 19007301, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917]",56
BIO2044,BIO2202,"[18008510, 19000012, 19000145, 19000380, 19000545, 19000871, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003334, 19003587, 19003659, 19003731, 19003904, 19003951, 19004146, 19004249, 19004315, 19004913, 19004987, 19005017, 19005075, 19005135, 19005530, 19005954, 19006081, 19006762, 19007201, 19007301, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917, 20008763]",50
BIO2044,BIO2203,"[19005017, 19007176, 19009108, 20005954]",4
BIO2044,BIO2204,"[18008510, 19000145, 19000307, 19000903, 19000954, 19003239, 19003571, 19004128, 19006949, 19007201, 19008152, 19009917]",12
BIO2044,BIO2206,"[19000012, 19000145, 19000380, 19000871, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003076, 19003239, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003951, 19004249, 19004315, 19005017, 19005135, 19005530, 19005538, 19005954, 19006949, 19007201, 19007301, 19007584, 19007688, 19008032, 19008152, 19008763, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917]",43
BIO2044,BIO2210,[19000307],1
BIO2044,BIO2210 CLCRHM,[],0
BIO2044,BIO2215E CLCCNS,[],0
BIO2044,BIO2220,"[18008510, 19003736, 19004348]",3
BIO2044,BIO2400,[],0
BIO2044,BIO2400E CLCCNS,[],0
BIO2044,BIO2403E CLCCNS,[],0
BIO2044,BIO2405E QTS,[],0
BIO2044,BIO2504 TNS,[],0
BIO2044,BIO2516 CLCCNS,[],0
BIO2044,BIO2800 CLCCNS,[],0
BIO2044,BIO3098,[],0
BIO2044,BIO3099,[],0
BIO2044,BIO3178 CLCCNS,[],0
BIO2044,BIO3182 CLCCNS,[],0
BIO2044,BIO3190,[],0
BIO2044,BIO3191,[],0
BIO2044,BIO3201,[20008763],1
BIO2044,BIO3205,[],0
BIO2044,BIO3227E QTS,[],0
BIO2044,BIO3252,"[19000012, 19000307, 19000380, 19000545, 19000871, 19000880, 19000903, 19000954, 19001739, 19002118, 19002671, 19002972, 19003032, 19003076, 19003239, 19003334, 19003571, 19003587, 19003659, 19003731, 19003736, 19003904, 19003951, 19004128, 19004146, 19004249, 19004315, 19004348, 19004987, 19005017, 19005135, 19005530, 19005538, 19005954, 19006081, 19006762, 19007176, 19007301, 19007399, 19007584, 19007688, 19008032, 19008152, 19008511, 19008788, 19008934, 19009047, 19009108, 19009254, 19009315, 19009432, 19009594, 19009917]",53
BIO2044,BIO3252E QTS,[],0
BIO2044,BIO3257 TNS,[],0
BIO2044,BIO3258,"[19000880, 19004348, 19004987, 19005075, 20005954]",5
BIO2044,BIO3258E QTS,[],0
BIO2044,BIO3262 TNS,[],0
BIO2044,BIO3263 TNS,[],0
BIO2044,BIO3301 CLCCNS,[],0
BIO2044,BIO3302,[],0
BIO2044,BIO3302E CLCCNS,[],0
BIO2044,BIO3303,[],0
BIO2044,BIO3304,[],0
BIO2044,BIO3330 CLCCNS,[],0
BIO2044,BIO3356 CLCCNS,[],0
BIO2044,BIO3370E QTS,[],0
BIO2044,BIO3372E QTS,[],0
BIO2044,BIO3373 TNS,[],0
BIO2044,BIO3377 TNS,[],0
BIO2044,BIO3400E QTS,[],0
BIO2044,BIO3401E QTS,[],0
BIO2044,BIO3403E QTS,[],0
BIO2044,BIO3405E QTS,[],0
BIO2044,BIO3504 TNS,[],0
BIO2044,BIO3701 TNS,[],0
BIO2044,BIO3802E CLCCNS,[],0
BIO2044,BIO3803E CLCCNS,[],0
BIO2044,CHE1048,[],0
BIO2044,CHE1048 CLCCNH,[],0
BIO2044,CHE1052,[],0
BIO2044,CHE1052 CLCCNH,[],0
BIO2044,CHE1052 CLCHD,[],0
BIO2044,CHE1057,"[19002671, 19003032, 19003076, 19004348, 19009108]",5
BIO2044,CHE1057 CLCCNS,[],0
BIO2044,CHE1057 QTS,[],0
BIO2044,CHE1065,[],0
BIO2044,CHE1067,[],0
BIO2044,CHE1067 CLCHD,[],0
BIO2044,CHE1075,[],0
BIO2044,CHE1075E CLCHD,[],0
BIO2044,CHE1077 TNH,[],0
BIO2044,CHE1079,[],0
BIO2044,CHE1079 TNH,[],0
BIO2044,CHE1079E CLCCNH,[],0
BIO2044,CHE1080,"[19002118, 19004128, 19005538, 19007301, 19008511, 20005954]",6
BIO2044,CHE1081,"[19000145, 19001739, 19003904, 19006949, 19007176, 19007201, 19007584, 19008152, 19008511, 19008763, 19009917, 20005954]",12
BIO2044,CHE1081 CLCCNS,[],0
BIO2044,CHE1081 QTS,[],0
BIO2044,CHE1081 TNS,[],0
BIO2044,CHE1083,[],0
BIO2044,CHE1084,[],0
BIO2044,CHE1084 TNH,[],0
BIO2044,CHE1090,[],0
BIO2044,CHE1091,[],0
BIO2044,CHE1091 CLCCNH,[],0
BIO2044,CHE1095E TTH,[],0
BIO2044,CHE1099E TNH,[],0
BIO2044,CHE1099E TTH,[],0
BIO2044,CHE1129 CLCCNH,[],0
BIO2044,CHE1155,[],0
BIO2044,CHE2018,[],0
BIO2044,CHE2021,[],0
BIO2044,CHE2021 CLCCNH,[],0
BIO2044,CHE2030E CLCHD,[],0
BIO2044,CHE2110 TNH,[],0
BIO2044,CHE2110E TTH,[],0
BIO2044,CHE2114,[],0
BIO2044,CHE2114E CLCHD,[],0
BIO2044,CHE2118E TTH,[],0
BIO2044,CHE2120E TTH,[],0
BIO2044,CHE2121 TNH,[],0
BIO2044,CHE2128 TNH,[],0
BIO2044,CHE2130 TNH,[],0
BIO2044,CHE2130E TTH,[],0
BIO2044,CHE2131 TNH,[],0
BIO2044,CHE2145E TTH,[],0
BIO2044,CHE3045,[],0
BIO2044,CHE3045E CLCCNH,[],0
BIO2044,CHE3212 TTH,[],0
BIO2044,CHE3253,[],0
BIO2044,CHE3253 CLCCNH,[],0
BIO2044,CHE3254,[],0
BIO2044,CHE3254 CLCCNH,[],0
BIO2044,CHE3283 CLCHD,[],0
BIO2044,CHE3300,[],0
BIO2044,CHE3300 CLCHD,[],0
BIO2044,CHE3302 CLCHD,[],0
BIO2044,E363 TTKHMT,[],0
BIO2044,E476 TTKHMT,[],0
BIO2044,EVF2007,[],0
BIO2044,EVF2032,[],0
BIO2044,EVS2017,[],0
BIO2044,EVS2109,[],0
BIO2044,EVS2301,[],0
BIO2044,EVS2301 CLCKHMT,[],0
BIO2044,EVS2302,[],0
BIO2044,EVS2302 CTĐB,[],0
BIO2044,EVS3158,[19005538],1
BIO2044,EVS3232,[19005538],1
BIO2044,EVS3241,[],0
BIO2044,EVS3241 CLCKHMT,[],0
BIO2044,EVS3242,[],0
BIO2044,EVS3244,[19005538],1
BIO2044,EVS3245,[],0
BIO2044,EVS3248,[],0
BIO2044,EVS3250,[],0
BIO2044,EVS3250 CLCKHMT,[],0
BIO2044,EVS3287,[19005538],1
BIO2044,EVS3402 CTĐB,[],0
BIO2044,EVS3409,[],0
BIO2044,EVS3453,[],0
BIO2044,EVS3455,[],0
BIO2044,EVS4071,[],0
BIO2044,EVS4071 CLCKHMT,[],0
BIO2044,EVS4073,[19005538],1
BIO2044,EVS4073 CLCCNKTMT,[],0
BIO2044,GEO1050,[19000545],1
BIO2044,GEO2016,[],0
BIO2044,GEO2025,[],0
BIO2044,GEO2059,[],0
BIO2044,GEO2110,[],0
BIO2044,GEO2300,[],0
BIO2044,GEO2304,[],0
BIO2044,GEO2319,[],0
BIO2044,GEO2320,[],0
BIO2044,GEO2400,[],0
BIO2044,GEO2404,[],0
BIO2044,GEO3119,[],0
